sentence,type
11-08-20sUser65,Greet
lmaooo,Emotion
;-),Emotion
stop lyin doll,Reject
then buy one,Statement
yessum,Accept
YOu love my chocha,Statement
im thirsty go get me a beer,Statement
yeah i just found some superman stuff on myspace even,Statement
he orders an ice cream........,Statement
lol,Emotion
i am broke,Statement
come on now guys,Statement
LOL,Emotion
"you can friend him, lex, and lois",Statement
!buy 11-08-20sUser54 a pussy,System
".ACTION gives 11-08-20sUser54 a a pussy, ""Compliments of 11-08-20sUser121!"".",System
cold Bud,Statement
21 F,Statement
.ACTION brings 11-08-20sUser21 a beer.,System
ok i forgive you 11-08-20sUser91,Statement
geesh there is enough lovin for us all,Statement
"the ice cream guys says, 'what flavour??@",Statement
awww you actualy did,Statement
under one condition,Continuer
im tryina get 11-08-20sUser110 11-08-20sUser54,Statement
lol,Emotion
i was waitin for you to cuss me,Statement
lol,Emotion
nope,nAnswer
"the downs kid says, 'it don't matter cause i'm gonna drop it anyway'!",Emphasis
!smooch 11-08-20sUser65,System
i have my hand to satisfie me ok,Statement
".ACTION walks up to 11-08-20sUser65, runs their fingers thru the back of 11-08-20sUser65's hair, closes their eyes, and gently kisses 11-08-20sUser65 on the neck, Compliments of 11-08-20sUser21!.",System
.ACTION sits down to eat chococake.,System
.ACTION is going to get something to munch on.,System
me too 11-08-20sUser54,Accept
anyyyyyyyyyyyyyyyyy guys IN LATE 20S PM ME IF THERE A STALLION AND IF THEY CAN BE A GOOD BOY PM ME,Statement
why were you standing in the first place,whQuestion
!rape 11-08-20sUser21,Statement
11-08-20sUser114,Greet
fuckin bot,Statement
yes,yAnswer
raarrrrrr,Emotion
lol,Emotion
im listening to barbie girl,Statement
its the thought that counts 11-08-20sUser31,Statement
lol 11-08-20sUser65. ,Emotion
LMAO,Emotion
awww thanks,Statement
o geez,Emotion
DOWNS SYNDORME,Statement
hey 11-08-20sUser31!!!!!!!,Greet
hey 11-08-20sUser110 recovering well frm last night?,ynQuestion
"11-08-20sUser69,",Statement
hey 11-08-20sUser31,Greet
shut up,Reject
jajajaaa,Emotion
yes!,yAnswer
hey 11-08-20sUser91,Greet
you tart,Statement
lol,Emotion
You dont like my bot 11-08-20sUser31?,ynQuestion
lol,Emotion
hahaha,Emotion
hgey doesnt fuck 11-08-20sUser69...,Statement
mwahhs 11-08-20sUser69,Emotion
what happened last night?,whQuestion
11-08-20sUser69 I mean.. lol,Clarify
he needs to do !hump,Statement
20 min to go,Statement
lol,Emotion
11-08-20sUser69 is a gimp,Statement
yea.. and !sex,Accept
lol,Emotion
!lick 11-08-20sUser65,System
youuu can touch you caan play,Statement
.ACTION watches 11-08-20sUser21 lick 11-08-20sUser65.... *drools*.,System
anything else 11-08-20sUser133,ynQuestion
 :-@  :beer: ,Statement
no,nAnswer
good,Accept
me and 11-08-20sUser110 exchanged fliuds 11-08-20sUser70,Statement
bye,Bye
lol 11-08-20sUser65!!!!,Emotion
11-08-20sUser54 what did you want,whQuestion
bye?,ynQuestion
lovely,Statement
lol,Emotion
lol love it 11-08-20sUser69,Accept
.ACTION remembers the days i used to call 11-08-20sUser65 11-08-20sUser65 11-08-20sUser65.,System
lmaooo 11-08-20sUser69!!!!!!!!!!!!!,Emotion
"yeah ifr im gimp, your banned",yAnswer
lmao,Emotion
ahhhh memories,Statement
what a dumb nic 11-08-20sUser54,Statement
lol 11-08-20sUser21 ,Emotion
OMG,Emotion
you act like were 80,Statement
lol,Emotion
so bye,Bye
i appologise,Statement
PART,System
JOIN,System
well,Statement
omg,Emotion
PART,System
PART,System
JOIN,System
JOIN,System
1 day we will be......,Continuer
PART,System
awww sad,Emotion
11-08-20sUser69 are you gonna make the bot ! hump?,ynQuestion
how are you feeling 11-08-20sUser69?,whQuestion
lol 11-08-20sUser69!!!!!!!!!!,Emotion
JOIN,System
PART,System
PART,System
how are ya 11-08-20sUser31?,whQuestion
JOIN,System
hahaha...this room is goofy,Statement
good how are you,whQuestion
JOIN,System
Maybe 11-08-20sUser31,Statement
!hug 11-08-20sUser69..,System
.ACTION watches 11-08-20sUser110 try to hug 11-08-20sUser69..... but 11-08-20sUser69.. starts kissing 11-08-20sUser110 right away...,System
11-08-20sUser104,Statement
sweet ,Statement
yeah 11-08-20sUser69 you have to make a !sex or at least !molest one,Accept
good,Statement
yeah,Accept
I'm alive 11-08-20sUser91,Statement
!hump 11-08-20sUser69,Statement
i guess,Statement
bye everyone!!!,Bye
your face is goofy,Statement
PART,System
JOIN,System
you never stay and chat 11-08-20sUser69,Statement
damn,Emotion
lol,Emotion
aww ,Emotion
looks for D :beer: ,Statement
chatting sucks,Statement
11-08-20sUser69 usually lurks,Statement
if you didnt know yet,Continuer
fenks 11-08-20sUser69!!,Emphasis
:),Emotion
;),Emotion
yw.,Statement
yes 11-08-20sUser69 i agree lets all just exchange fluids,Accept
:),Emotion
yes I know,yAnswer
hmmm...cyber sex sucks,Statement
lol,Emotion
!grope 11-08-20sUser31,System
.ACTION watches 11-08-20sUser21 grope 11-08-20sUser31.. mmmmm....,System
see.. he smiles,Statement
mwahhss,Emotion
oh yeah,Accept
mmmmm thats the spot,Statement
where is elle?,whQuestion
 :tongue: ,Emotion
11-08-20sUser21.. stick to at least 3 girls per day please,Statement
come on barbie lets go party,Statement
why is everyone askin me!!!,whQuestion
"ok ""exchange fluids"" kinda like a car thing",Statement
PART,System
yada yada... yada..boring nd lame folks suck..lol,Statement
lol,Emotion
lol. the tongue!!!,Emphasis
JOIN,System
i'm not exchanging fluids with no one,Statement
hahaaa,Emotion
she is good on her elbows i miss her,Statement
11-08-20sUser65,Statement
hey babe,Greet
i havent seen u in ages,Statement
no one here is good enough for my superior fluids,Statement
Elle went out with her fruity friend to a bar,Statement
PART,System
JOIN,System
11-08-20sUser50,Greet
PART,System
how you been 11-08-20sUser50,whQuestion
and  is nd..lol,Statement
oh boy,Statement
stop shpwing me your nude pics,Reject
JOIN,System
yeah...he may have e-herpes,Accept
15 min to go,Statement
good good,Statement
lmao 11-08-20sUser21,Emotion
i dont have nudes,Reject
you wish,Continuer
hello,Greet
leave her alone,Statement
i'm sure there is a troll out there for you 11-08-20sUser21,Statement
hey 11-08-20sUser50 you whore whats up?,Greet
11-08-20sUser50!!,Greet
11-08-20sUser110 are you good on your elbows like elle?,ynQuestion
lol 11-08-20sUser91!!!,Emotion
allo 11-08-20sUser91,Greet
lmaooooo,Emotion
LOL,Emotion
Troll??,ynQuestion
yes!,yAnswer
elbows? its not knees anymore??,ynQuestion
;),Emotion
hello hun,Greet
AHAHHA,Emotion
stop it lol,Emotion
11-08-20sUser91,Statement
what?,whQuestion
who,whQuestion
shit...im missing everything,Statement
and 11-08-20sUser31 is a good on her kneez.. i guess..lol,Statement
im a girl im if im on my kness she has to be on her elbows.. ,Statement
.ACTION looks for some trout.,System
PART,System
yeah someone ugly enough for your fluids hahaha,Statement
ask 11-08-20sUser91.. she knows.. she's ma wife,Statement
lol,Emotion
JOIN,System
elbowS??,ynQuestion
uh o,Emotion
yesh I am ,yAnswer
ive never been on my elbows,Statement
any nice guyz wanna chat,Statement
on yer knees!,Emphasis
11-08-20sUser70 be nice to 11-08-20sUser21,Statement
lol 11-08-20sUser65,Emotion
OK im really fuckin confused!!,Emphasis
any females want to chat? 25 m canada pm me,Statement
kneess... lol,Statement
i am 21 years old and still a virgin male do u wanna fuck  11-08-20sUser91,Statement
i am being nice,Statement
AHHAH 11-08-20sUser21,Emotion
lmao im serious when did you start using elbows?,whQuestion
11-08-20sUser104..like a clue..u miss'n alot of that..lol,Statement
PART,System
lol,Emotion
lol 11-08-20sUser54,Emotion
damn wind - we must have a cyclone coming or something,Statement
JOIN,System
poor doll,Statement
LOL,Emotion
21 and a virgin. thats sad,Statement
no,nAnswer
go boy,Statement
no Reub.. for real,Reject
wtf is this talk about elbows & knees!???,whQuestion
i just want to be included,Statement
hahaha,Emotion
lol,Emotion
im so lost,Statement
thats good to be a virgin,Statement
who's a virgin?,whQuestion
possibly,Statement
there is a 3 people involved here 11-08-20sUser65.. let me help you .. 11-08-20sUser21 is standing im on my knees and 11-08-20sUser110 or elle is on elbows???? get it,Statement
"Not to worry ladies, I have arrived.",Statement
OMG I am not sure how to react its so pathetic,Statement
me,Statement
not enough rain for it though,Statement
the girls here are on heat man,Statement
im a virgin,Statement
I am laughing so hard,Emotion
elbows??,ynQuestion
but winds seem to be hitting about 50-60kmph,Continuer
11-08-20sUser114..the pope..is ..lol,Statement
i have never used elbows,Reject
im standin where?,whQuestion
riiiight 11-08-20sUser31,Statement
who,whQuestion
PART,System
in mass orgies they dont even use elbows i swear,Reject
.ACTION is a virgin.,System
lol,Emotion
brb,Bye
wtf is goin on!!!,whQuestion
nm,Statement
11-08-20sUser91 give me a chance,Statement
ima cry,Statement
11-08-20sUser50 is needy today,Statement
lol,Emotion
i swear to god ima cry,Statement
dont cry babe,Reject
i'm a born again virgin,Statement
carpet burns,Statement
you cant dis a tryer,Statement
will you fuck me if i cry?,ynQuestion
no im just bored u whore,nAnswer
truss me,Statement
lol guess i need to keep up with the new techniques of elbows,Statement
hmm maybe,Statement
hey 11-08-20sUser50,Greet
aw,Emotion
shut up bitch,Reject
JOIN,System
o shit,Emotion
Ummm 11-08-20sUser54 cut off your balls and swallow mmmkay and please choke if that does not kill you just drink some bleach you will go fast I promise,Reject
hey 11-08-20sUser104,Greet
!whip 11-08-20sUser50,Statement
heyyyy 11-08-20sUser110,Greet
11-08-20sUser110??,ynQuestion
PART,System
lol,Emotion
i dont know if its a technique but it sounded ok in my head,Statement
whos talkin shit to u,whQuestion
JOIN,System
LMAO 11-08-20sUser91,Emotion
.ACTION dances naked.,System
LOL,Emotion
hey 11-08-20sUser104,Greet
hi everyone,Greet
PART,System
yo 11-08-20sUser104 bend over id show ya how virgin i am ..lol,Statement
yeah baby???,ynQuestion
11-08-20sUser91 i never had a girlfriend,Statement
yess,Emphasis
lol no one,Reject
hiya barbie hi ken!,Greet
I do not care,Reject
lol11-08-40sUser2,Emotion
me too 11-08-40sUser7....let's find someone else to pick on...lol,Statement
hi 11-08-40sUser5,Greet
JOIN,System
PART,System
hi 11-08-40sUser5,Greet
hi 11-08-40sUser29,Greet
hey 11-08-40sUser29,Greet
hi 11-08-40sUser29,Greet
JOIN,System
hello 11-08-40sUser7 and 11-08-40sUser19,Greet
hi 11-08-40sUser16,Greet
hi 11-08-40sUser30,Greet
hi 11-08-40sUser30,Greet
hi 11-08-40sUser24,Greet
JOIN,System
i think 11-08-40sUser29 wants us too 11-08-40sUser7...lol,Statement
JOIN,System
(((((11-08-40sUser19)))),Emotion
hi 11-08-40sUser31,Greet
hi 11-08-40sUser31,Greet
Ahhhh ! Just what I like !...lotsa folks I dont know !,Emphasis
hi 11-08-40sUser32,Greet
hi 11-08-40sUser7,Greet
hi 11-08-40sUser32,Greet
hi 11-08-40sUser24,Greet
11-08-40sUser29 ha?,ynQuestion
"it was the first time in my life I had played the game, I was getting killed, I had to do something",Statement
wants you to what,whQuestion
hi there 11-08-40sUser7,Greet
JOIN,System
hi 11-08-40sUser33,Greet
Hummmm...,Statement
hi 11-08-40sUser33,Greet
hey...11-08-40sUser7....i think 11-08-40sUser18 wants us too....,Statement
PART,System
hi 11-08-40sUser24,Greet
hi room ,Greet
wow a duet we can pick on...sounds fun,Statement
hi 11-08-40sUser7,Greet
hello hottie 11-08-40sUser18,Greet
Gosh !! I swear ! I dunno anyone !,Emphasis
hi 11-08-40sUser20 ,Greet
<grins,Statement
hell ya....11-08-40sUser7,Statement
hi 11-08-40sUser30,Greet
bbiam,Bye
"11-08-40sUser24,,,,""whatca talkin bout willis""",Statement
PART,System
hi 11-08-40sUser30 nice to meet you,Greet
lol...11-08-40sUser18,Emotion
"ahhh.11-08-40sUser20 ! <<<<,smiles",Statement
lol ,Emotion
JOIN,System
hi 11-08-40sUser30,Greet
Hello 11-08-40sUser7,Greet
hi 11-08-40sUser30,Greet
11-08-40sUser30,Statement
Hey 11-08-40sUser33,Greet
wb 11-08-40sUser2's,Greet
JOIN,System
"i need to perv there pro's first 11-08-40sUser24, give me something to go on",Statement
11-08-40sUser32 !!,Emphasis
hi,Greet
hey wuts up in here tonite ?,Greet
ty 11-08-40sUser18!,Emphasis
yw!,Emphasis
Man ! ,Emphasis
i know 11-08-40sUser7....,Statement
"wb 11-08-40sUser2 ,, 11-08-40sUser34",Greet
:),Emotion
can't help u there...lol,Statement
PART,System
nothing i understand so i guess since i am stupid i will go,Statement
ty 11-08-40sUser20,Statement
where r u 11-08-40sUser30? ,whQuestion
"<,thinks she d better ""perv"" profiles.....LOL",Statement
ty,Statement
anyone else please with the results today?,ynQuestion
bye 11-08-40sUser29 :( ,Bye
no 11-08-40sUser18...,nAnswer
Upstate NY 11-08-40sUser32,System
upstate ny?,ynQuestion
"how did it ever get called ""perving"" anyway?",whQuestion
ya 11-08-40sUser33 a little frustrating eh?,ynQuestion
yup 11-08-40sUser7,yAnswer
where?,whQuestion
pervert 11-08-40sUser2...,Statement
".ACTION has a naked profile ,,, oh wait i filled it out now.",System
LOL.I dunno 8.Ima goin wid the flow....lmao,Statement
JOIN,System
PART,System
i 11-08-40sUser35,Greet
hi 11-08-40sUser35,Greet
"you know its been a great year here, first the Cardnials win the World Series, and then ..........well last night",Statement
i know but what's perverted about reading profiles?,whQuestion
west of Albany,Statement
can i do  a  quiz,ynQuestion
what happened 11-08-40sUser18?,whQuestion
PART,System
"kewl, i'm in saratoga",Statement
JOIN,System
ahhh.just havin a lil fun 11-08-40sUser2............smiles,Statement
hi 11-08-40sUser35,Greet
there was an election 11-08-40sUser2,Statement
PART,System
brb,Bye
JOIN,System
wut 11-08-40sUser29? ,whQuestion
cool 11-08-40sUser7 !!!!!,Emphasis
ok 11-08-40sUser18...on to next subject...lol,Statement
lol thanks 11-08-40sUser18. ,Statement
JOIN,System
PART,System
hi 11-08-40sUser36,Greet
hi 11-08-40sUser36,Greet
hey 11-08-40sUser36,Greet
JOIN,System
JOIN,System
hey 11-08-40sUser37,Greet
:-) hi,Greet
"lol, sorry 11-08-40sUser24",Statement
hi 11-08-40sUser37,Greet
hi 11-08-40sUser37,Greet
PART,System
wb 11-08-40sUser35,Greet
JOIN,System
PART,System
"<<<<<<,sighs",Statement
hi guys,Greet
JOIN,System
"hi 11-08-40sUser20, 11-08-40sUser19, 11-08-40sUser18",Greet
hi 11-08-40sUser37 ,Greet
hi 11-08-40sUser38,Greet
hi,Greet
wb 11-08-40sUser35...,Greet
hi 11-08-40sUser35 ,Greet
PART,System
hi 11-08-40sUser24,Greet
hey 11-08-40sUser36,Greet
hih 11-08-40sUser24 too ,Greet
what was  alcopones nick name,whQuestion
PART,System
al maybe  lol ,Statement
PART,System
JOIN,System
PART,System
who cares 11-08-40sUser34?,whQuestion
hi 11-08-40sUser39,Greet
hi ya,Greet
11-08-40sUser2 leave??,ynQuestion
i like to do quizes ok,Statement
sometimes,Statement
PART,System
j/k 11-08-40sUser34....,Statement
JOIN,System
what was his nicname 11-08-40sUser34?,whQuestion
dont see her 11-08-40sUser30,yAnswer
wb 11-08-40sUser35,Greet
yall.....11-08-40sUser2 leave???,Statement
PART,System
scar face,Statement
JOIN,System
JOIN,System
ahhh ty 11-08-40sUser18,Statement
hi 11-08-40sUser40,Greet
JOIN,System
hi 11-08-40sUser41,Greet
JOIN,System
hi 11-08-40sUser23,Greet
hi 11-08-40sUser24,Greet
wb 11-08-40sUser23,Greet
"<<<<<<<,goes back to pervin profilrs",Statement
"she has always been so nice to me, hate to see her run off",Statement
profiles,Clarify
lol,Emotion
hi,Greet
JOIN,System
who ran off?,whQuestion
hi 11-08-40sUser42,Greet
11-08-40sUser2's 11-08-40sUser24,Statement
PART,System
JOIN,System
PART,System
PART,System
so whats happening,whQuestion
JOIN,System
hi 11-08-40sUser44,Greet
PART,System
PART,System
JOIN,System
wb 11-08-40sUser25,Greet
PART,System
hands 11-08-40sUser25 back the pillow,Statement
JOIN,System
ty.....clicked the  wrong button.....,Statement
11-08-40sUser24 what was the name of lincolns famous speech ,whQuestion
lol...ty  11-08-40sUser19,Statement
"ok,,doggies are all set now",Statement
PART,System
hi 11-08-40sUser25,Greet
PART,System
11-08-40sUser25 the red X is bad..say far far away.........lol,Statement
hey 11-08-40sUser0....no wine tonight???lol,ynQuestion
well off to porn sites for release of life,Statement
lol...i know  11-08-40sUser19.....the dreaded red x,Accept
well enjoy then 11-08-40sUser38,Statement
no wine 11-08-40sUser7 lol,yAnswer
lol,Emotion
11-08-40sUser36 hugsss,Emotion
gettysburg address?,ynQuestion
PART,System
"well, i have a headach anyway",Statement
thanks 11-08-40sUser7 i will at least twice tonight,Statement
11-08-40sUser25!!   lol,Emotion
the gettysburg address,yAnswer
Hay Girl !,Greet
lol 11-08-40sUser38,Emotion
heyyyyy 11-08-40sUser30,Greet
JOIN,System
wb 11-08-40sUser45,Greet
i never lie 11-08-40sUser7,Statement
"<<<<<,,,smiles",Statement
hello all..,Greet
JOIN,System
hi 11-08-40sUser46,Greet
JOIN,System
brb,Bye
hi 11-08-40sUser7,Greet
pleaseeeee 11-08-40sUser38,Statement
PART,System
howdy 11-08-40sUser46,Greet
11-08-40sUser40 muahsssssssssssssssssss,Emotion
hi 11-08-40sUser18 theere,Greet
hi 11-08-40sUser45,Greet
hi 11-08-40sUser47,Greet
hi 11-08-40sUser46,Greet
hi 11-08-40sUser24,Greet
hi 11-08-40sUser47,Greet
hiya 11-08-40sUser7..how are u,whQuestion
PART,System
PART,System
JOIN,System
"hiya 11-08-40sUser24,,how are u doing",Greet
11-08-40sUser48....hugs hun,Emotion
(((((((((((((((hey yall))))))))))))),Emotion
JOIN,System
 (((((((((((((11-08-40sUser7))))))))),Emotion
good u 11-08-40sUser47,whQuestion
hi 11-08-40sUser49,Greet
JOIN,System
hi 11-08-40sUser49,Greet
JOIN,System
 (((((((((((11-08-40sUser24))))))))),Emotion
"he 11-08-40sUser50, 11-08-40sUser40",Greet
hi 11-08-40sUser50,Greet
wb 11-08-40sUser40,Greet
hey,Greet
hi  11-08-40sUser40 muahssssssssssssssss baby,Greet
Hiya 11-08-40sUser46,Greet
hi 11-08-40sUser47,Greet
PART,System
"11-08-40sUser24 i just remember, danny left to recieve his email...boy must of been a good one",Statement
is AFK fer a few,Bye
hiya 11-08-40sUser22,Greet
how have u been doing 11-08-40sUser46,whQuestion
.ACTION waits paitently for the topic to turn to boobs.,System
JOIN,System
.ACTION smack 11-08-40sUser18.,System
makes ya wonder hu 11-08-40sUser7,ynQuestion
lol 11-08-40sUser6,Emotion
hiya,Greet
.ACTION sighs at pm.....shakes head....,System
yes it does,yAnswer
11-08-40sUser51 get a life,Statement
 hands 11-08-40sUser18 a pr of pasties..... there party with your own 11-08-40sUser18 LOL,Statement
lol  ty 11-08-40sUser6,Emotion
tabasco hot sauce was made in la right 11-08-40sUser48,Statement
oh...ok 11-08-40sUser7,Accept
whhhooooo ridem 11-08-40sUser48 !!!,Emphasis
yw,Statement
lol we all the same pm,Statement
lol 11-08-40sUser48,Emotion
some guys prono=pming the ladies,Statement
 ((((((((((((((((((((((((11-08-40sUser20))))))))))))))))) I think you must have a bed roll in da corner?,ynQuestion
i think so 11-08-40sUser23,Statement
got^^,Statement
JOIN,System
"are you kiddin me, if had a pair of my own, like anyone here would even know me",Statement
hi 11-08-40sUser52,Greet
PART,System
PART,System
lol 11-08-40sUser48,Emotion
 shrugs 11-08-40sUser18..... hehe,Statement
Howdy 11-08-40sUser7.....,Greet
you ring 11-08-40sUser52,Statement
i'm getting him banned,Statement
ty 11-08-40sUser36,Statement
wow mercy mercy me....things aint what they used to be....hmm hmm hmm,Statement
ok who sang that?,whQuestion
 ;-) anything for u 11-08-40sUser6,Statement
lol,Emotion
"11-08-40sUser34 .... It's ""Rang"" .....",Statement
 dont know,Statement
< some guy,Statement
robert palmer right???anyone???? never mind...hm hmm ,ynQuestion
that was that guy Marvin Gay,Statement
11-08-40sUser20.......,Statement
that hall oates guy?,Statement
 hows ya doing?,whQuestion
was it 11-08-40sUser18?,ynQuestion
PART,System
PART,System
YES,yAnswer
hall and oates?,ynQuestion
when somebody rang the door bell on the show the adams family lurch would say ''you ring,Statement
PART,System
JOIN,System
JOIN,System
livin lol nu >?,Other
Marvin,Statement
"hi 11-08-40sUser53, 11-08-40sUser54",Greet
 better than Living.... hehe TY,ynQuestion
hi 11-08-40sUser53,Greet
 but missin da dawg,Continuer
hi 11-08-40sUser54,Greet
Memory different than mine......,Statement
shoot- up early tomorrow- nite much love,Bye
nite 11-08-40sUser36,Bye
 K 11-08-40sUser36,Bye
JOIN,System
 hugzzzzzzz,Emotion
PART,System
h 11-08-40sUser55,Greet
hi 11-08-40sUser7,Greet
PART,System
JOIN,System
PART,System
hi 11-08-40sUser56,Greet
JOIN,System
florida,Statement
hi 11-08-40sUser57,Greet
"I cant play scrabble worth a crap, but I rule at name that tune",Statement
PART,System
hi,Greet
PART,System
in how many notes 11-08-40sUser18?,whQuestion
hi 11-08-40sUser56,Greet
lol,Emotion
hi 11-08-40sUser57,Greet
3 11-08-40sUser7,Statement
lol,Emotion
JOIN,System
ok 11-08-40sUser18 . la la la....name that tune,Statement
PART,System
hi 11-08-40sUser58,Greet
lol...,Emotion
"all you need is love,,,, the beatles",Statement
11-08-40sUser58 got stuck in the door & it threw her back out,Statement
lol i thought you were good 11-08-40sUser18,Statement
 Ohh I remember hearing that one 11-08-40sUser18,Statement
who sing the song  purple haze,whQuestion
jimmy hendrix,Emotion
right,Accept
who sings bye bye boyfriend?,whQuestion
JOIN,System
hi 11-08-40sUser59,Greet
lol,Emotion
my grilfriend,Statement
lol,Emotion
times up...febe dobson,Statement
Lovely Pic in Prof 11-08-40sUser7......,Statement
i bet she does 11-08-40sUser18,Statement
lol,Emotion
thanx 11-08-40sUser52,Statement
hi sorry i can't stay,Statement
just surfing again tonight,Statement
wc,Statement
JOIN,System
bye,Bye
see ya 11-08-40sUser59,Bye
hi 11-08-40sUser60,Greet
PART,System
hi how r u,whQuestion
"who sang  ""Hey won't you play another somebody done somebody wrong song?",whQuestion
JOIN,System
11-08-40sUser18????,ynQuestion
wb 11-08-40sUser45,Greet
wb 11-08-40sUser45,Greet
bj thomas,Statement
thanks 11-08-40sUser7..,Statement
mac davis,Statement
JOIN,System
good answer 11-08-40sUser55,Statement
hi 11-08-40sUser61,Greet
thanks 11-08-40sUser48..,Statement
Hi,Greet
PART,System
11-08-40sUser7?????????,whQuestion
does that make me old,ynQuestion
"11-08-40sUser18 .... Maybe before your time but.... Who sang ""In The Ghetto""?",whQuestion
ok who sang reach....1996?,Accept
elvis,ynQuestion
are you kiddin me,ynQuestion
"i'm not 11-08-40sUser18, guess",nAnswer
I'm impressed with ya 11-08-40sUser18 .....,Statement
PART,System
JOIN,System
wb 11-08-40sUser47,Greet
Hi 11-08-40sUser47,Greet
who wrote the song crazy for patsy cline,whQuestion
in 1996? hmmm dont know,Statement
gloria estefan,Statement
tks 11-08-40sUser7,Statement
wb 11-08-40sUser47,Greet
JOIN,System
wow,Statement
PART,System
hi 11-08-40sUser61..how are u,whQuestion
hi 11-08-40sUser53,Greet
hi 11-08-40sUser53,Greet
tks 11-08-40sUser24,Statement
willie nelson,Statement
hi 11-08-40sUser6,Greet
JOIN,System
PART,System
right 11-08-40sUser55,Accept
willy nelson,Statement
hi 11-08-40sUser53,Greet
right,Accept
wrote crazy,Continuer
"hi 11-08-40sUser62,,,,,i thing",Greet
i think,Clarify
hi 11-08-40sUser7,Greet
LOl 11-08-40sUser62...,Emotion
PART,System
11-08-40sUser47 I'm fine and thanks for asking.,Statement
who is the bigest turkey in here lol,whQuestion
lol....,Emotion
JOIN,System
wb 11-08-40sUser28,Greet
JOIN,System
hey 11-08-40sUser63,Greet
PART,System
JOIN,System
hi 11-08-40sUser63,Greet
hi 11-08-40sUser64,Greet
 & 11-08-40sUser28,Continuer
PART,System
ty 11-08-40sUser7,Statement
what was johny cashes nick name,whQuestion
and 11-08-40sUser48,Continuer
oh i know that one...um um um,Statement
man in black,Statement
11-08-40sUser58 LOL,Emotion
"so when Norah Jones sang, ""dont know why I didn't come"" I just figured how the hell could I know",Statement
right,Accept
( not 11-08-40sUser58 boo hoo),Statement
lol 11-08-40sUser18,Emotion
ok easy one who sings bad day?,whQuestion
what was willie nelsons nick name,whQuestion
one eye,Statement
JOIN,System
lol,Emotion
hi 11-08-40sUser65,Greet
hey 11-08-40sUser65,Greet
red headed stranger,Emotion
Hi 11-08-40sUser65,Greet
JOIN,System
hi 11-08-40sUser66,Greet
right 11-08-40sUser55,Accept
(((((((((((((((((((((((11-08-40sUser66))))))))))))))),Emotion
JOIN,System
hi there 11-08-40sUser7,Greet
"hiya 11-08-40sUser7, 11-08-40sUser19, 11-08-40sUser61",Greet
hi 11-08-40sUser66:),Greet
 (((((((((((((((((((((((((11-08-40sUser65)))))))))))),Emotion
hey 11-08-40sUser48,Greet
hey 11-08-40sUser66,Greet
my answer to my ?  daniel powter,Statement
hi the 11-08-40sUser65,Greet
.ACTION welcomes the 11-08-40sUser66.,System
hiya 11-08-40sUser48,Greet
hey 11-08-40sUser28,Greet
hiya 11-08-40sUser66,Greet
"11-08-40sUser66 i see you, your not invisible",Statement
hi 11-08-40sUser19,Greet
whats up girl,whQuestion
hey 11-08-40sUser19,Greet
.ACTION says thanks to 11-08-40sUser18 and hello.,System
 sorry didnt see ya...,Statement
PART,System
JOIN,System
 maybe b/c I am zzzzzzzz,Statement
hey 11-08-40sUser48..........how are ya,whQuestion
wb 11-08-40sUser68,Greet
PART,System
JOIN,System
ty and hello nice lady,Statement
k 11-08-40sUser19 Ty & U?,whQuestion
hi 11-08-40sUser69,Greet
am I suppose to be invisiable 11-08-40sUser7? huh lol,ynQuestion
ty 11-08-40sUser7,Statement
JOIN,System
lol 11-08-40sUser66,Emotion
hi 11-08-40sUser70,Greet
doing great 11-08-40sUser48.....ty,Statement
chuckles too 11-08-40sUser7,Statement
JOIN,System
11-08-40sUser70 heyyyyyy,Greet
hi all,Greet
 Kewl 11-08-40sUser19,Statement
hi 11-08-40sUser70,Greet
 hey 11-08-40sUser69,Greet
Hi 11-08-40sUser69,Greet
hi y'all,Greet
hi 11-08-40sUser69,Greet
hello all,Greet
hey 11-08-40sUser71,Greet
hi 11-08-40sUser48 where from?,whQuestion
heyyyyyyyy 11-08-40sUser70 ,Greet
hi 11-08-40sUser66,Greet
PART,System
JOIN,System
 Lousiana,Statement
11-08-40sUser69,Statement
even 11-08-40sUser55,Continuer
yes 11-08-40sUser48,Accept
what song did hank willams sang on monday night football on tv,whQuestion
i figured lol,Statement
 11-08-40sUser70 where  u from...I used to know a 11-08-40sUser70,whQuestion
im just south of NO,System
got me 11-08-40sUser34........no idea lol,Statement
all my rowdy friends are coming over tonight,Statement
and hello,Continuer
 hehe 11-08-40sUser69  smart man,Statement
you having a party 11-08-40sUser18?,ynQuestion
right 11-08-40sUser18,Accept
PART,System
cool 11-08-40sUser69,Statement
are you ready for some football???? guessing,ynQuestion
I know hank and hank jr,Statement
la la la hey jude,Statement
"ok who sang  ""slow hand""",whQuestion
eric,Statement
pointer sisters,ynQuestion
who broke the beattles up,whQuestion
conway,Statement
PART,System
PART,System
good answer 11-08-40sUser46,Accept
yoko,Statement
yoko,Statement
lol,Emotion
ty,Statement
yoko did,Statement
right 11-08-40sUser18,Accept
lol 11-08-40sUser7,Emotion
and 11-08-40sUser7,Continuer
.ACTION applaudes 11-08-40sUser46.,System
lol,Emotion
lol,Emotion
yea me,Statement
go me ,Statement
go me,Statement
lol,Emotion
JOIN,System
what did yoko say when John got shot,whQuestion
lmao,Emotion
hi 11-08-40sUser73,Greet
ono,Statement
My bad 11-08-40sUser70.. you not the same one,Statement
oh shit,Statement
